PassengerId,Survived,Pclass,Name,Sex,Age,Ticket
68,0,3,"Crease, Mr. Ernest James",male,19,S.P. 3464
69,1,3,"Andersson, Miss. Erna Alexandra",female,17,3101281
70,0,3,"Kink, Mr. Vincenz",male,26,315151
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32,C.A. 33111
72,0,3,"Goodwin, Miss. Lillian Amy",female,16,CA 2144
73,0,2,"Hood, Mr. Ambrose Jr",male,21,S.O.C. 14879
74,0,3,"Chronopoulos, Mr. Apostolos",male,26,2680
75,1,3,"Bing, Mr. Lee",male,32,1601
76,0,3,"Moen, Mr. Sigurd Hansen",male,25,348123
77,0,3,"Staneff, Mr. Ivan",male,,349208
78,0,3,"Moutal, Mr. Rahamin Haim",male,,374746
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,248738
80,1,3,"Dowdell, Miss. Elizabeth",female,30,364516
81,0,3,"Waelens, Mr. Achille",male,22,345767
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29,345779
83,1,3,"McDermott, Miss. Brigdet Delia",female,,330932
84,0,1,"Carrau, Mr. Francisco M",male,28,113059
85,1,2,"Ilett, Miss. Bertha",female,17,SO/C 14885
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3101278
87,0,3,"Ford, Mr. William Neal",male,16,W./C. 6608
88,0,3,"Slocovski, Mr. Selman Francis",male,,SOTON/OQ 392086
89,1,1,"Fortune, Miss. Mabel Helen",female,23,19950
90,0,3,"Celotti, Mr. Francesco",male,24,343275
91,0,3,"Christmann, Mr. Emil",male,29,343276
92,0,3,"Andreasson, Mr. Paul Edvin",male,20,347466
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46,W.E.P. 5734
94,0,3,"Dean, Mr. Bertram Frank",male,26,C.A. 2315
95,0,3,"Coxon, Mr. Daniel",male,59,364500
96,0,3,"Shorney, Mr. Charles Joseph",male,,374910
97,0,1,"Goldschmidt, Mr. George B",male,71,PC 17754
98,1,1,"Greenfield, Mr. William Bertram",male,23,PC 17759
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34,231919
100,0,2,"Kantor, Mr. Sinai",male,34,244367
101,0,3,"Petranec, Miss. Matilda",female,28,349245
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,,349215
103,0,1,"White, Mr. Richard Frasar",male,21,35281
104,0,3,"Johansson, Mr. Gustaf Joel",male,33,7540
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37,3101276
106,0,3,"Mionoff, Mr. Stoytcho",male,28,349207
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21,343120
108,1,3,"Moss, Mr. Albert Johan",male,,312991
109,0,3,"Rekic, Mr. Tido",male,38,349249
110,1,3,"Moran, Miss. Bertha",female,,371110
111,0,1,"Porter, Mr. Walter Chamberlain",male,47,110465
112,0,3,"Zabour, Miss. Hileni",female,14.5,2665
113,0,3,"Barton, Mr. David John",male,22,324669
114,0,3,"Jussila, Miss. Katriina",female,20,4136
115,0,3,"Attalah, Miss. Malake",female,17,2627
116,0,3,"Pekoniemi, Mr. Edvard",male,21,STON/O 2. 3101294
117,0,3,"Connors, Mr. Patrick",male,70.5,370369
118,0,2,"Turpin, Mr. William John Robert",male,29,11668
119,0,1,"Baxter, Mr. Quigg Edmond",male,24,PC 17558
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2,347082
121,0,2,"Hickman, Mr. Stanley George",male,21,S.O.C. 14879
122,0,3,"Moore, Mr. Leonard Charles",male,,A4. 54510
123,0,2,"Nasser, Mr. Nicholas",male,32.5,237736
124,1,2,"Webber, Miss. Susan",female,32.5,27267
125,0,1,"White, Mr. Percival Wayland",male,54,35281
126,1,3,"Nicola-Yarred, Master. Elias",male,12,2651
127,0,3,"McMahon, Mr. Martin",male,,370372
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24,C 17369
129,1,3,"Peter, Miss. Anna",female,,2668
130,0,3,"Ekstrom, Mr. Johan",male,45,347061
131,0,3,"Drazenoic, Mr. Jozef",male,33,349241
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20,SOTON/O.Q. 3101307
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,A/5. 3337
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,228414
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25,C.A. 29178
136,0,2,"Richard, Mr. Emile",male,23,SC/PARIS 2133
137,1,1,"Newsom, Miss. Helen Monypeny",female,19,11752
138,0,1,"Futrelle, Mr. Jacques Heath",male,37,113803
139,0,3,"Osen, Mr. Olaf Elon",male,16,7534
140,0,1,"Giglio, Mr. Victor",male,24,PC 17593
141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,,2678
142,1,3,"Nysten, Miss. Anna Sofia",female,22,347081
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,STON/O2. 3101279
144,0,3,"Burke, Mr. Jeremiah",male,19,365222
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18,231945
146,0,2,"Nicholls, Mr. Joseph Charles",male,19,C.A. 33112
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,350043
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9,W./C. 6608
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,230080
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42,244310
151,0,2,"Bateman, Rev. Robert James",male,51,S.O.P. 1166
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22,113776
153,0,3,"Meo, Mr. Alfonzo",male,55.5,A.5. 11206
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,A/5. 851
155,0,3,"Olsen, Mr. Ole Martin",male,,Fa 265302
156,0,1,"Williams, Mr. Charles Duane",male,51,PC 17597
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16,35851
158,0,3,"Corn, Mr. Harry",male,30,SOTON/OQ 392090
159,0,3,"Smiljanic, Mr. Mile",male,,315037
160,0,3,"Sage, Master. Thomas Henry",male,,CA. 2343
161,0,3,"Cribb, Mr. John Hatfield",male,44,371362
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,C.A. 33595
163,0,3,"Bengtsson, Mr. John Viktor",male,26,347068
164,0,3,"Calic, Mr. Jovo",male,17,315093
165,0,3,"Panula, Master. Eino Viljami",male,1,3101295
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9,363291
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,113505
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,347088
169,0,1,"Baumann, Mr. John D",male,,PC 17318
170,0,3,"Ling, Mr. Lee",male,28,1601
171,0,1,"Van der hoef, Mr. Wyckoff",male,61,111240
172,0,3,"Rice, Master. Arthur",male,4,382652
173,1,3,"Johnson, Miss. Eleanor Ileen",female,1,347742
174,0,3,"Sivola, Mr. Antti Wilhelm",male,21,STON/O 2. 3101280
175,0,1,"Smith, Mr. James Clinch",male,56,17764
176,0,3,"Klasen, Mr. Klas Albin",male,18,350404
177,0,3,"Lefebre, Master. Henry Forbes",male,,4133
178,0,1,"Isham, Miss. Ann Elizabeth",female,50,PC 17595
179,0,2,"Hale, Mr. Reginald",male,30,250653
180,0,3,"Leonard, Mr. Lionel",male,36,LINE
181,0,3,"Sage, Miss. Constance Gladys",female,,CA. 2343
182,0,2,"Pernot, Mr. Rene",male,,SC/PARIS 2131
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9,347077
184,1,2,"Becker, Master. Richard F",male,1,230136
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4,315153
186,0,1,"Rood, Mr. Hugh Roscoe",male,,113767
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,370365
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,111428
189,0,3,"Bourke, Mr. John",male,40,364849
190,0,3,"Turcin, Mr. Stjepan",male,36,349247
191,1,2,"Pinsky, Mrs. (Rosa)",female,32,234604
192,0,2,"Carbines, Mr. William",male,19,28424
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,350046
194,1,2,"Navratil, Master. Michel M",male,3,230080
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,PC 17610
196,1,1,"Lurette, Miss. Elise",female,58,PC 17569
197,0,3,"Mernagh, Mr. Robert",male,,368703
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42,4579
199,1,3,"Madigan, Miss. Margaret ""Maggie""",female,,370370
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,248747
201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28,345770
202,0,3,"Sage, Mr. Frederick",male,,CA. 2343
203,0,3,"Johanson, Mr. Jakob Alfred",male,34,3101264
204,0,3,"Youseff, Mr. Gerious",male,45.5,2628
205,1,3,"Cohen, Mr. Gurshon ""Gus""",male,18,A/5 3540
206,0,3,"Strom, Miss. Telma Matilda",female,2,347054
207,0,3,"Backstrom, Mr. Karl Alfred",male,32,3101278
208,1,3,"Albimona, Mr. Nassef Cassem",male,26,2699
209,1,3,"Carr, Miss. Helen ""Ellen""",female,16,367231
210,1,1,"Blank, Mr. Henry",male,40,112277
211,0,3,"Ali, Mr. Ahmed",male,24,SOTON/O.Q. 3101311
212,1,2,"Cameron, Miss. Clear Annie",female,35,F.C.C. 13528
213,0,3,"Perkin, Mr. John Henry",male,22,A/5 21174
214,0,2,"Givard, Mr. Hans Kristensen",male,30,250646
215,0,3,"Kiernan, Mr. Philip",male,,367229
216,1,1,"Newell, Miss. Madeleine",female,31,35273
217,1,3,"Honkanen, Miss. Eliina",female,27,STON/O2. 3101283
218,0,2,"Jacobsohn, Mr. Sidney Samuel",male,42,243847
219,1,1,"Bazzani, Miss. Albina",female,32,11813
220,0,2,"Harris, Mr. Walter",male,30,W/C 14208
221,1,3,"Sunderland, Mr. Victor Francis",male,16,SOTON/OQ 392089
222,0,2,"Bracken, Mr. James H",male,27,220367
223,0,3,"Green, Mr. George Henry",male,51,21440
224,0,3,"Nenkoff, Mr. Christo",male,,349234
225,1,1,"Hoyt, Mr. Frederick Maxfield",male,38,19943
226,0,3,"Berglund, Mr. Karl Ivar Sven",male,22,PP 4348
227,1,2,"Mellors, Mr. William John",male,19,SW/PP 751
228,0,3,"Lovell, Mr. John Hall (""Henry"")",male,20.5,A/5 21173
229,0,2,"Fahlstrom, Mr. Arne Jonas",male,18,236171
230,0,3,"Lefebre, Miss. Mathilde",female,,4133
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,36973
232,0,3,"Larsson, Mr. Bengt Edvin",male,29,347067
233,0,2,"Sjostedt, Mr. Ernst Adolf",male,59,237442
234,1,3,"Asplund, Miss. Lillian Gertrud",female,5,347077
235,0,2,"Leyson, Mr. Robert William Norman",male,24,C.A. 29566
236,0,3,"Harknett, Miss. Alice Phoebe",female,,W./C. 6609
237,0,2,"Hold, Mr. Stephen",male,44,26707
238,1,2,"Collyer, Miss. Marjorie ""Lottie""",female,8,C.A. 31921
239,0,2,"Pengelly, Mr. Frederick William",male,19,28665
240,0,2,"Hunt, Mr. George Henry",male,33,SCO/W 1585
241,0,3,"Zabour, Miss. Thamine",female,,2665
242,1,3,"Murphy, Miss. Katherine ""Kate""",female,,367230
243,0,2,"Coleridge, Mr. Reginald Charles",male,29,W./C. 14263
244,0,3,"Maenpaa, Mr. Matti Alexanteri",male,22,STON/O 2. 3101275
245,0,3,"Attalah, Mr. Sleiman",male,30,2694
246,0,1,"Minahan, Dr. William Edward",male,44,19928
247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,347071
248,1,2,"Hamalainen, Mrs. William (Anna)",female,24,250649
249,1,1,"Beckwith, Mr. Richard Leonard",male,37,11751
250,0,2,"Carter, Rev. Ernest Courtenay",male,54,244252
251,0,3,"Reed, Mr. James George",male,,362316
252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,347054
253,0,1,"Stead, Mr. William Thomas",male,62,113514
254,0,3,"Lobb, Mr. William Arthur",male,30,A/5. 3336
255,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,370129
256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,2650
257,1,1,"Thorne, Mrs. Gertrude Maybelle",female,,PC 17585
258,1,1,"Cherry, Miss. Gladys",female,30,110152
259,1,1,"Ward, Miss. Anna",female,35,PC 17755
260,1,2,"Parrish, Mrs. (Lutie Davis)",female,50,230433
261,0,3,"Smith, Mr. Thomas",male,,384461
262,1,3,"Asplund, Master. Edvin Rojj Felix",male,3,347077
263,0,1,"Taussig, Mr. Emil",male,52,110413
264,0,1,"Harrison, Mr. William",male,40,112059
265,0,3,"Henry, Miss. Delia",female,,382649
266,0,2,"Reeves, Mr. David",male,36,C.A. 17248
267,0,3,"Panula, Mr. Ernesti Arvid",male,16,3101295
268,1,3,"Persson, Mr. Ernst Ulrik",male,25,347083
269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,PC 17582
270,1,1,"Bissette, Miss. Amelia",female,35,PC 17760
271,0,1,"Cairns, Mr. Alexander",male,,113798
272,1,3,"Tornquist, Mr. William Henry",male,25,LINE
273,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41,250644
274,0,1,"Natsch, Mr. Charles H",male,37,PC 17596
275,1,3,"Healy, Miss. Hanora ""Nora""",female,,370375
276,1,1,"Andrews, Miss. Kornelia Theodosia",female,63,13502
277,0,3,"Lindblom, Miss. Augusta Charlotta",female,45,347073
278,0,2,"Parkes, Mr. Francis ""Frank""",male,,239853
279,0,3,"Rice, Master. Eric",male,7,382652
280,1,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,C.A. 2673
281,0,3,"Duane, Mr. Frank",male,65,336439
282,0,3,"Olsson, Mr. Nils Johan Goransson",male,28,347464
283,0,3,"de Pelsmaeker, Mr. Alfons",male,16,345778
284,1,3,"Dorking, Mr. Edward Arthur",male,19,A/5. 10482
285,0,1,"Smith, Mr. Richard William",male,,113056
286,0,3,"Stankovic, Mr. Ivan",male,33,349239
287,1,3,"de Mulder, Mr. Theodore",male,30,345774
288,0,3,"Naidenoff, Mr. Penko",male,22,349206
289,1,2,"Hosono, Mr. Masabumi",male,42,237798
290,1,3,"Connolly, Miss. Kate",female,22,370373
291,1,1,"Barber, Miss. Ellen ""Nellie""",female,26,19877
292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,11967
293,0,2,"Levy, Mr. Rene Jacques",male,36,SC/Paris 2163
294,0,3,"Haas, Miss. Aloisia",female,24,349236
295,0,3,"Mineff, Mr. Ivan",male,24,349233
296,0,1,"Lewy, Mr. Ervin G",male,,PC 17612
297,0,3,"Hanna, Mr. Mansour",male,23.5,2693
298,0,1,"Allison, Miss. Helen Loraine",female,2,113781
299,1,1,"Saalfeld, Mr. Adolphe",male,,19988
300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,PC 17558
301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,,9234
302,1,3,"McCoy, Mr. Bernard",male,,367226
303,0,3,"Johnson, Mr. William Cahoone Jr",male,19,LINE
304,1,2,"Keane, Miss. Nora A",female,,226593
305,0,3,"Williams, Mr. Howard Hugh ""Harry""",male,,A/5 2466
306,1,1,"Allison, Master. Hudson Trevor",male,0.92,113781
307,1,1,"Fleming, Miss. Margaret",female,,17421
308,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,PC 17758
309,0,2,"Abelson, Mr. Samuel",male,30,P/PP 3381
310,1,1,"Francatelli, Miss. Laura Mabel",female,30,PC 17485
311,1,1,"Hays, Miss. Margaret Bechstein",female,24,11767
312,1,1,"Ryerson, Miss. Emily Borie",female,18,PC 17608
313,0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,26,250651
314,0,3,"Hendekovic, Mr. Ignjac",male,28,349243
315,0,2,"Hart, Mr. Benjamin",male,43,F.C.C. 13529
316,1,3,"Nilsson, Miss. Helmina Josefina",female,26,347470
317,1,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24,244367
318,0,2,"Moraweck, Dr. Ernest",male,54,29011
319,1,1,"Wick, Miss. Mary Natalie",female,31,36928
320,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40,16966
321,0,3,"Dennis, Mr. Samuel",male,22,A/5 21172
322,0,3,"Danoff, Mr. Yoto",male,27,349219
323,1,2,"Slayter, Miss. Hilda Mary",female,30,234818
324,1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22,248738
325,0,3,"Sage, Mr. George John Jr",male,,CA. 2343
326,1,1,"Young, Miss. Marie Grice",female,36,PC 17760
327,0,3,"Nysveen, Mr. Johan Hansen",male,61,345364
328,1,2,"Ball, Mrs. (Ada E Hall)",female,36,28551
329,1,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31,363291
330,1,1,"Hippach, Miss. Jean Gertrude",female,16,111361
331,1,3,"McCoy, Miss. Agnes",female,,367226
332,0,1,"Partner, Mr. Austen",male,45.5,113043
333,0,1,"Graham, Mr. George Edward",male,38,PC 17582
334,0,3,"Vander Planke, Mr. Leo Edmondus",male,16,345764
335,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,,PC 17611
336,0,3,"Denkoff, Mr. Mitto",male,,349225
337,0,1,"Pears, Mr. Thomas Clinton",male,29,113776
338,1,1,"Burns, Miss. Elizabeth Margaret",female,41,16966
339,1,3,"Dahl, Mr. Karl Edwart",male,45,7598
340,0,1,"Blackwell, Mr. Stephen Weart",male,45,113784
341,1,2,"Navratil, Master. Edmond Roger",male,2,230080
342,1,1,"Fortune, Miss. Alice Elizabeth",female,24,19950
343,0,2,"Collander, Mr. Erik Gustaf",male,28,248740
344,0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25,244361
345,0,2,"Fox, Mr. Stanley Hubert",male,36,229236
346,1,2,"Brown, Miss. Amelia ""Mildred""",female,24,248733
347,1,2,"Smith, Miss. Marion Elsie",female,40,31418
348,1,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,386525
349,1,3,"Coutts, Master. William Loch ""William""",male,3,C.A. 37671
350,0,3,"Dimic, Mr. Jovan",male,42,315088
351,0,3,"Odahl, Mr. Nils Martin",male,23,7267
352,0,1,"Williams-Lambert, Mr. Fletcher Fellows",male,,113510
353,0,3,"Elias, Mr. Tannous",male,15,2695
354,0,3,"Arnold-Franchi, Mr. Josef",male,25,349237
355,0,3,"Yousif, Mr. Wazli",male,,2647
356,0,3,"Vanden Steen, Mr. Leo Peter",male,28,345783
357,1,1,"Bowerman, Miss. Elsie Edith",female,22,113505
358,0,2,"Funk, Miss. Annie Clemmer",female,38,237671
359,1,3,"McGovern, Miss. Mary",female,,330931
360,1,3,"Mockler, Miss. Helen Mary ""Ellie""",female,,330980
361,0,3,"Skoog, Mr. Wilhelm",male,40,347088
362,0,2,"del Carlo, Mr. Sebastiano",male,29,SC/PARIS 2167
363,0,3,"Barbara, Mrs. (Catherine David)",female,45,2691
364,0,3,"Asim, Mr. Adola",male,35,SOTON/O.Q. 3101310
365,0,3,"O'Brien, Mr. Thomas",male,,370365
366,0,3,"Adahl, Mr. Mauritz Nils Martin",male,30,C 7076
367,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60,110813
368,1,3,"Moussa, Mrs. (Mantoura Boulos)",female,,2626
369,1,3,"Jermyn, Miss. Annie",female,,14313
370,1,1,"Aubart, Mme. Leontine Pauline",female,24,PC 17477
371,1,1,"Harder, Mr. George Achilles",male,25,11765
372,0,3,"Wiklund, Mr. Jakob Alfred",male,18,3101267
373,0,3,"Beavan, Mr. William Thomas",male,19,323951
374,0,1,"Ringhini, Mr. Sante",male,22,PC 17760
375,0,3,"Palsson, Miss. Stina Viola",female,3,349909
376,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,PC 17604
377,1,3,"Landergren, Miss. Aurora Adelia",female,22,C 7077
378,0,1,"Widener, Mr. Harry Elkins",male,27,113503
379,0,3,"Betros, Mr. Tannous",male,20,2648
380,0,3,"Gustafsson, Mr. Karl Gideon",male,19,347069
381,1,1,"Bidois, Miss. Rosalie",female,42,PC 17757
382,1,3,"Nakid, Miss. Maria (""Mary"")",female,1,2653
383,0,3,"Tikkanen, Mr. Juho",male,32,STON/O 2. 3101293
384,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35,113789
385,0,3,"Plotcharsky, Mr. Vasil",male,,349227
386,0,2,"Davies, Mr. Charles Henry",male,18,S.O.C. 14879
387,0,3,"Goodwin, Master. Sidney Leonard",male,1,CA 2144
388,1,2,"Buss, Miss. Kate",female,36,27849
389,0,3,"Sadlier, Mr. Matthew",male,,367655
390,1,2,"Lehmann, Miss. Bertha",female,17,SC 1748
391,1,1,"Carter, Mr. William Ernest",male,36,113760
392,1,3,"Jansson, Mr. Carl Olof",male,21,350034
393,0,3,"Gustafsson, Mr. Johan Birger",male,28,3101277
394,1,1,"Newell, Miss. Marjorie",female,23,35273
395,1,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24,PP 9549
396,0,3,"Johansson, Mr. Erik",male,22,350052
397,0,3,"Olsson, Miss. Elina",female,31,350407
398,0,2,"McKane, Mr. Peter David",male,46,28403
399,0,2,"Pain, Dr. Alfred",male,23,244278
400,1,2,"Trout, Mrs. William H (Jessie L)",female,28,240929
401,1,3,"Niskanen, Mr. Juha",male,39,STON/O 2. 3101289
402,0,3,"Adams, Mr. John",male,26,341826
403,0,3,"Jussila, Miss. Mari Aina",female,21,4137
404,0,3,"Hakkarainen, Mr. Pekka Pietari",male,28,STON/O2. 3101279
405,0,3,"Oreskovic, Miss. Marija",female,20,315096
406,0,2,"Gale, Mr. Shadrach",male,34,28664
407,0,3,"Widegren, Mr. Carl/Charles Peter",male,51,347064
408,1,2,"Richards, Master. William Rowe",male,3,29106
409,0,3,"Birkeland, Mr. Hans Martin Monsen",male,21,312992
410,0,3,"Lefebre, Miss. Ida",female,,4133
411,0,3,"Sdycoff, Mr. Todor",male,,349222
412,0,3,"Hart, Mr. Henry",male,,394140
413,1,1,"Minahan, Miss. Daisy E",female,33,19928
414,0,2,"Cunningham, Mr. Alfred Fleming",male,,239853
415,1,3,"Sundman, Mr. Johan Julian",male,44,STON/O 2. 3101269
416,0,3,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,,343095
417,1,2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34,28220
418,1,2,"Silven, Miss. Lyyli Karoliina",female,18,250652
419,0,2,"Matthews, Mr. William John",male,30,28228
420,0,3,"Van Impe, Miss. Catharina",female,10,345773
421,0,3,"Gheorgheff, Mr. Stanio",male,,349254
422,0,3,"Charters, Mr. David",male,21,A/5. 13032
